market_id,app_id,app,downloads,price,average_score,in_app_purchases,group,nest,market_share,num_apps_category
United States 2019,com.scottgames.fivenightsatfreddys,Five Nights at Freddy's,2157800,3.663507081320328,4.6999998,TRUE,GAME_ACTION,GAME1,0.00858173488015081,29
United States 2019,com.nekki.shadowfight2.paid,Shadow Fight 2 Special Edition,330240,5.9501331974107545,4.4000001,TRUE,GAME_ACTION,GAME1,0.001313389622217538,29
United States 2019,com.squareenixmontreal.hitmansniperandroid,Hitman Sniper,14546500,1.8846072450639568,4.5,TRUE,GAME_ACTION,GAME1,0.057852537971134384,29
United States 2019,com.jumpgames.RealSteel,Real Steel,554060,1.8565128473357657,3.7,TRUE,GAME_ACTION,GAME1,0.002203538802343293,29
United States 2019,com.bethsoft.DOOM,DOOM,19680,5.832617982738232,4.099999899999999,FALSE,GAME_ACTION,GAME1,7.826885830075445e-5,29
United States 2019,com.rockstar.gta3,Grand Theft Auto III,1903920,5.5510824231643685,4.3000002,FALSE,GAME_ACTION,GAME1,0.007572034791462013,29
United States 2019,com.rockstargames.gtactw,GTA: Chinatown Wars,500000,5.202164792281811,4.4000001,FALSE,GAME_ACTION,GAME1,0.001988538066584209,29
United States 2019,com.GameCoaster.ProtectDungeon,Dungeon Defense,1727260,1.5841697421047614,4.6999998,TRUE,GAME_ACTION,GAME1,0.00686944452177648,29
United States 2019,com.bethsoft.DOOMII,DOOM II,9680,6.43870534904265,4.1999998,FALSE,GAME_ACTION,GAME1,3.849809696907028e-5,29
United States 2019,com.younghorses.octodad,Octodad: Dadliest Catch,100000,6.414950271962919,4.1999998,FALSE,GAME_ADVENTURE,GAME1,3.977076133168417e-4,37
United States 2019,com.hitcents.stickmanepic,Draw a Stickman: EPIC,201320,1.6467923448171424,4.3000002,TRUE,GAME_ADVENTURE,GAME1,8.006649671294658e-4,37
United States 2019,com.gameloft.android.ANMP.GloftICHM,Sonic Runners Adventure - Fast Action Platformer,100000,3.9166870431082303,4.1999998,FALSE,GAME_ADVENTURE,GAME1,3.977076133168417e-4,37
United States 2019,air.com.RustyLake.RustyLakeHotel,Rusty Lake Hotel,196100,2.3191920807769164,4.6999998,FALSE,GAME_ADVENTURE,GAME1,7.799046297143266e-4,37
United States 2019,com.hitcents.drawastickmanepic2,Draw a Stickman: EPIC 2 Pro,119720,3.9623904920173634,4.1999998,TRUE,GAME_ADVENTURE,GAME1,4.761355546629229e-4,37
United States 2019,com.and.games505.TerrariaPaid,Terraria,5000000,5.425343592256929,4.3000002,FALSE,GAME_ADVENTURE,GAME1,0.019885380665842087,37
United States 2019,com.and.games505.portal_knights,Portal Knights,100000,5.433533718772326,4.1999998,TRUE,GAME_ADVENTURE,GAME1,3.977076133168417e-4,37
United States 2019,com.robotgentleman.game60seconds,60 Seconds! Atomic Adventure,184800,4.460366827164631,4.099999899999999,FALSE,GAME_ADVENTURE,GAME1,7.349636694095235e-4,37
United States 2019,com.wb.goog.legobdc,LEGO Batman: DC Super Heroes,63420,5.609343569952744,4.1999998,FALSE,GAME_ADVENTURE,GAME1,2.52226168365541e-4,37
United States 2019,air.net.machinarium.Machinarium.GP,Machinarium,1000000,1.57489352498118,4.5999999,FALSE,GAME_ADVENTURE,GAME1,0.003977076133168418,37
United States 2019,com.kleientertainment.doNotStarveShipwrecked,Don't Starve: Shipwrecked,69280,5.2190743062020495,4.5,FALSE,GAME_ADVENTURE,GAME1,2.7553183450590793e-4,37
United States 2019,com.noodlecake.realmyst,realMyst,14160,8.299938112237264,4.099999899999999,FALSE,GAME_ADVENTURE,GAME1,5.631539804566479e-5,37
United States 2019,com.wb.goog.lnjgo,LEGOÂ® Ninjago: Shadow of Ronin,189080,5.013104571967218,4.3000002,FALSE,GAME_ADVENTURE,GAME1,7.519855552594844e-4,37
United States 2019,com.rawfury.kathy,Kathy Rain,13380,5.68764791332554,4.5999999,FALSE,GAME_ADVENTURE,GAME1,5.321327866179342e-5,37
United States 2019,com.bscotch.crashlands,Crashlands,270600,7.1460691592880234,4.5999999,FALSE,GAME_ADVENTURE,GAME1,0.0010761968016353737,37
United States 2019,air.com.amanitadesign.chuchel.gp,CHUCHEL,29740,5.867111788044971,4.1999998,FALSE,GAME_ADVENTURE,GAME1,1.1827824420042873e-4,37
United States 2019,games.dali.adventure.lucid.dream.part.two,Lucid Dream Adventure 2 - Story Point & Click Game,860,4.03534443532501,4.099999899999999,FALSE,GAME_ADVENTURE,GAME1,3.4202854745248387e-6,37
